[11-10-2021 22:37:21] >> DELETED ./log.txt File => Success     > null = 86:31 => file:///home/pi/terrarium/backend/data-manage.mjs

[11-10-2021 22:37:21] Terrarium Server Restarted
Initialization Complete
     > null = 415:1 => file:///home/pi/terrarium/terrarium.mjs

-> Email Sent Successfully
[11-10-2021 22:38:05] [#2] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-10-2021 22:38:17] [#1] SENSOR ERROR [Sensor is ON] :: Error: failed to read sensor     > null = 100:9 => file:///home/pi/terrarium/backend/utility.mjs

[11-11-2021 5:02:44] MEMORY REPORTING :: Usage-5m: 145.04296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.04 | Total Load-5m: 0.0800,0.0400,0.0000 | Time: 23107.561381887

[11-11-2021 5:07:44] MEMORY REPORTING :: Usage-5m: 144.7890625 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0400,0.0300,0.0000 | Time: 23407.561527926

[11-11-2021 5:12:44] MEMORY REPORTING :: Usage-5m: 144.54296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0600,0.0300,0.0000 | Time: 23707.562263221

[11-11-2021 5:17:44] MEMORY REPORTING :: Usage-5m: 144.55859375 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0300,0.0300,0.0000 | Time: 24007.56249496

[11-11-2021 5:22:44] MEMORY REPORTING :: Usage-5m: 144.55078125 | Total Memory-5m: 923.20703125 | Load-5m: 0.04 | Total Load-5m: 0.0900,0.0400,0.0100 | Time: 24307.562998844

[11-11-2021 5:27:44] MEMORY REPORTING :: Usage-5m: 144.796875 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0300,0.0300,0.0000 | Time: 24607.563360861

[11-11-2021 5:32:44] MEMORY REPORTING :: Usage-5m: 144.54296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.0700,0.0600,0.0100 | Time: 24907.563087044

[11-11-2021 5:37:44] MEMORY REPORTING :: Usage-5m: 144.55078125 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0200,0.0300,0.0000 | Time: 25207.563122494

[11-11-2021 5:42:44] MEMORY REPORTING :: Usage-5m: 144.55078125 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.0700,0.0600,0.0100 | Time: 25507.563376288

[11-11-2021 5:47:44] MEMORY REPORTING :: Usage-5m: 144.54296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.0600,0.0600,0.0000 | Time: 25807.563121925

[11-11-2021 5:52:44] MEMORY REPORTING :: Usage-5m: 144.53515625 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 26107.563842794

[11-11-2021 5:57:44] MEMORY REPORTING :: Usage-5m: 144.296875 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0100,0.0100,0.0000 | Time: 26407.564659186

[11-11-2021 6:02:44] MEMORY REPORTING :: Usage-5m: 144.2890625 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0100,0.0000,0.0000 | Time: 26707.564852697

[11-11-2021 6:07:44] MEMORY REPORTING :: Usage-5m: 144.04296875 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 27007.565511274

[11-11-2021 6:12:44] MEMORY REPORTING :: Usage-5m: 144.05859375 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 27307.566864926

[11-11-2021 6:17:44] MEMORY REPORTING :: Usage-5m: 143.8046875 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 27607.567284753

[11-11-2021 6:22:44] MEMORY REPORTING :: Usage-5m: 144.06640625 | Total Memory-5m: 923.20703125 | Load-5m: 0.04 | Total Load-5m: 0.0500,0.0400,0.0000 | Time: 27907.567127263

[11-11-2021 6:27:44] MEMORY REPORTING :: Usage-5m: 138.6953125 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0300,0.0300,0.0000 | Time: 28207.567941789

[11-11-2021 6:32:44] MEMORY REPORTING :: Usage-5m: 138.95703125 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.1100,0.0600,0.0100 | Time: 28507.568545364

[11-11-2021 6:37:44] MEMORY REPORTING :: Usage-5m: 138.7109375 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0400,0.0300,0.0000 | Time: 28807.569398938

[11-11-2021 6:42:44] MEMORY REPORTING :: Usage-5m: 138.7109375 | Total Memory-5m: 923.20703125 | Load-5m: 0.07 | Total Load-5m: 0.1100,0.0700,0.0100 | Time: 29107.568809947

[11-11-2021 6:47:44] MEMORY REPORTING :: Usage-5m: 106.1484375 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0400,0.0500,0.0000 | Time: 29407.569647333

[11-11-2021 6:52:44] MEMORY REPORTING :: Usage-5m: 106.15625 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 29707.570553524

[11-11-2021 6:57:44] MEMORY REPORTING :: Usage-5m: 106.1484375 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 30007.571244001

[11-11-2021 7:02:44] MEMORY REPORTING :: Usage-5m: 106.171875 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.0900,0.0600,0.0100 | Time: 30307.570981477

[11-11-2021 7:07:44] MEMORY REPORTING :: Usage-5m: 105.90234375 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0400,0.0500,0.0000 | Time: 30607.571180066

[11-11-2021 7:12:44] MEMORY REPORTING :: Usage-5m: 105.90234375 | Total Memory-5m: 923.20703125 | Load-5m: 0.08 | Total Load-5m: 0.1300,0.0800,0.0100 | Time: 30907.571701084

[11-11-2021 7:17:44] MEMORY REPORTING :: Usage-5m: 105.90234375 | Total Memory-5m: 923.20703125 | Load-5m: 0.09 | Total Load-5m: 0.1000,0.0900,0.0200 | Time: 31207.572159751

[11-11-2021 7:22:44] MEMORY REPORTING :: Usage-5m: 105.91796875 | Total Memory-5m: 923.20703125 | Load-5m: 0.09 | Total Load-5m: 0.1800,0.0900,0.0200 | Time: 31507.572146176

[11-11-2021 7:27:44] MEMORY REPORTING :: Usage-5m: 105.91796875 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0000,0.0200,0.0000 | Time: 31807.571981755

[11-11-2021 7:32:44] MEMORY REPORTING :: Usage-5m: 105.671875 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 32107.572136365

[11-11-2021 7:37:44] MEMORY REPORTING :: Usage-5m: 105.43359375 | Total Memory-5m: 923.20703125 | Load-5m: 0.02 | Total Load-5m: 0.0100,0.0200,0.0000 | Time: 32407.57227208

[11-11-2021 7:42:44] MEMORY REPORTING :: Usage-5m: 105.42578125 | Total Memory-5m: 923.20703125 | Load-5m: 0.01 | Total Load-5m: 0.0200,0.0100,0.0000 | Time: 32707.572136829

[11-11-2021 7:43:59] SEVERE LOW HUMIDITY -> IMMEDIATE ACTION REQUIRED
69.30%  < 70.00%
     > evaluateConditions = 111:174 => file:///home/pi/terrarium/backend/server.mjs

-> Email Sent Successfully
[11-11-2021 7:46:59] SEVERE LOW HUMIDITY -> IMMEDIATE ACTION REQUIRED
69.50%  < 70.00%
     > evaluateConditions = 111:174 => file:///home/pi/terrarium/backend/server.mjs

-> Email Sent Successfully
[11-11-2021 7:47:44] MEMORY REPORTING :: Usage-5m: 104.86328125 | Total Memory-5m: 923.20703125 | Load-5m: 0.03 | Total Load-5m: 0.0500,0.0300,0.0000 | Time: 33007.571855169

[11-11-2021 7:52:44] MEMORY REPORTING :: Usage-5m: 104.87890625 | Total Memory-5m: 923.20703125 | Load-5m: 0 | Total Load-5m: 0.0000,0.0000,0.0000 | Time: 33307.571936481

[11-11-2021 7:57:44] MEMORY REPORTING :: Usage-5m: 105.1328125 | Total Memory-5m: 923.20703125 | Load-5m: 0.05 | Total Load-5m: 0.0700,0.0500,0.0100 | Time: 33607.572638323

[11-11-2021 8:02:44] MEMORY REPORTING :: Usage-5m: 105.37890625 | Total Memory-5m: 923.20703125 | Load-5m: 0.06 | Total Load-5m: 0.0400,0.0600,0.0100 | Time: 33907.573646474

[11-11-2021 8:07:44] MEMORY REPORTING :: Usage-5m: 105.35546875 | Total Memory-5m: 923.20703125 | Load-5m: 0.09 | Total Load-5m: 0.0900,0.0900,0.0300 | Time: 34207.574893688

[11-11-2021 8:12:44] MEMORY REPORTING :: Usage-5m: 105.1171875 | Total Memory-5m: 923.20703125 | Load-5m: 0.08 | Total Load-5m: 0.0400,0.0800,0.0300 | Time: 34507.57569316

[11-11-2021 8:17:44] MEMORY REPORTING :: Usage-5m: 104.89453125 | Total Memory-5m: 923.20703125 | Load-5m: 0.17 | Total Load-5m: 0.3400,0.1700,0.0700 | Time: 34807.576073501

[11-11-2021 8:22:44] MEMORY REPORTING :: Usage-5m: 104.88671875 | Total Memory-5m: 923.20703125 | Load-5m: 0.13 | Total Load-5m: 0.0900,0.1300,0.0800 | Time: 35107.576140001

[11-11-2021 8:27:44] MEMORY REPORTING :: Usage-5m: 104.88671875 | Total Memory-5m: 923.20703125 | Load-5m: 0.13 | Total Load-5m: 0.1600,0.1300,0.0900 | Time: 35407.576027223

